ID     | Command line                                                                                              | Date and time    | Action(s)      | Altered
    68 | install feh                                                                                               | 2023-03-26 19:43 | Install        |    2   
    67 | install picom nitrogen slock                                                                              | 2023-03-26 19:01 | Install        |    9   
    66 | install i3                                                                                                | 2023-03-25 07:55 | Install        |   32   
    65 |                                                                                                           | 2023-03-24 21:03 | E, I, U        |  134   
    64 |                                                                                                           | 2023-03-24 09:56 | Install        |    4   
    63 | install sublime-text                                                                                      | 2023-03-19 20:08 | Install        |    1  <
    62 | install bat                                                                                               | 2023-03-19 16:02 | Install        |    1 > 
    61 |                                                                                                           | 2023-03-19 16:02 | Install        |    1   
    60 | install python3-tkinter                                                                                   | 2023-03-14 10:05 | Install        |    2   
    59 | install zathura-pdf-poppler-0.3.1-1.fc37.x86_64                                                           | 2023-03-14 08:24 | Install        |    1   
    58 |                                                                                                           | 2023-03-14 08:21 | Install        |    2   
    57 | update                                                                                                    | 2023-03-13 08:33 | C, E, I, U     |   71   
    56 |                                                                                                           | 2023-03-08 21:47 | E, I, U        |  137   
    55 | install mypaint                                                                                           | 2023-03-02 18:00 | Install        |    6   
    54 | upgrade                                                                                                   | 2023-02-28 21:49 | C, E, I, U     |   85   
    53 | install codium codium-insiders                                                                            | 2023-02-26 17:58 | Install        |    2  <
    52 | install cargo                                                                                             | 2023-02-26 15:30 | Install        |    1 > 
    51 | install rust                                                                                              | 2023-02-26 15:30 | Install        |    2   
    50 |                                                                                                           | 2023-02-25 21:21 | Install        |    1   
    49 | install thefuck                                                                                           | 2023-02-25 19:45 | Install        |    6   
    48 | install scrcpy                                                                                            | 2023-02-25 19:39 | Install        |    2  <
    47 | install sqlitebrowser                                                                                     | 2023-02-25 18:45 | Install        |    5 > 
    46 |                                                                                                           | 2023-02-25 15:18 | Install        |    5   
    45 | remove okular                                                                                             | 2023-02-25 14:22 | Removed        |   94 EE
    44 | install qpdfview-qt6-0.5.0-1.fc37.x86_64                                                                  | 2023-02-25 14:20 | Install        |    4   
    43 | install okular                                                                                            | 2023-02-25 14:17 | Install        |   94   
    42 | install vlc                                                                                               | 2023-02-23 19:28 | Install        |   27   
    41 | install gstreamer1-vaapi                                                                                  | 2023-02-23 19:26 | Install        |    1   
    40 |                                                                                                           | 2023-02-23 19:17 | Install        |    1   
    39 | install libva-utils                                                                                       | 2023-02-23 19:16 | Install        |    1   
    38 | install mesa-vdpau-drivers                                                                                | 2023-02-23 19:16 | Install        |    1   
    37 | remove mesa-vdpau-drivers-freeworld-22.3.5-1.fc37.x86_64                                                  | 2023-02-23 19:16 | Removed        |    1   
    36 | install ffmpeg-devel                                                                                      | 2023-02-21 20:55 | Install        |    1   
    35 | install ffmpeg --allowerasing                                                                             | 2023-02-21 20:55 | E, I           |   22   
    34 |                                                                                                           | 2023-02-21 20:52 | Install        |    1   
    33 | install qbittorrent                                                                                       | 2023-02-21 19:14 | Install        |    2   
    32 | install gnome-pomodoro                                                                                    | 2023-02-20 14:05 | Install        |    1   
    31 |                                                                                                           | 2023-02-20 13:25 | Install        |    4   
    30 |                                                                                                           | 2023-02-20 09:24 | Install        |    1   
    29 |                                                                                                           | 2023-02-20 09:03 | Install        |    1   
    28 |                                                                                                           | 2023-02-19 18:39 | I, U           |  118   
    27 | swap mesa-vdpau-drivers mesa-vdpau-drivers-freeworld                                                      | 2023-02-19 18:37 | Install        |    1   
    26 | swap mesa-va-drivers mesa-va-drivers-freeworld                                                            | 2023-02-19 18:37 | E, I, U        |    4   
    25 | groupupdate sound-and-video                                                                               | 2023-02-19 18:37 | Install        |    1   
    24 | install -y ./pulsar-1.102.2023021605.x86_64.rpm                                                           | 2023-02-18 10:34 | Install        |    1   
    23 |                                                                                                           | 2023-02-16 11:53 | Install        |    1   
    22 | install clang                                                                                             | 2023-02-16 09:58 | Install        |    1   
    21 |                                                                                                           | 2023-02-16 09:57 | Install        |    6   
    20 | install mpv                                                                                               | 2023-02-15 19:26 | Install        |   15   
    19 |                                                                                                           | 2023-02-14 13:22 | Install        |    2   
    18 | install telegram -y                                                                                       | 2023-02-14 11:05 | Install        |   16  <
    17 | install https://download1.rpmfusion.org/nonfree/fedora/rpmfusion-nonfree-release-37.noarch.rpm -y         | 2023-02-14 11:03 | Install        |    1 > 
